<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2018.06.29	02:00:00	418.00	418.50	417.00	417.00	11	0	550
2018.06.29	03:00:00	417.00	421.50	417.00	420.50	284	0	450
2018.06.29	04:00:00	421.00	422.00	417.50	417.50	161	0	450
2018.06.29	05:00:00	417.50	420.00	417.00	419.00	203	0	450
2018.06.29	06:00:00	418.50	419.00	418.00	418.00	81	0	500
2018.06.29	07:00:00	418.50	418.50	412.50	413.00	231	0	450
2018.06.29	08:00:00	413.00	417.50	404.50	415.00	416	0	450
2018.06.29	09:00:00	415.00	415.50	412.00	414.00	151	0	450
2018.06.29	10:00:00	414.50	414.50	410.25	413.00	157	0	450
2018.06.29	11:00:00	412.50	415.50	411.50	412.00	175	0	450
2018.06.29	12:00:00	412.00	414.50	411.50	414.50	113	0	450
2018.06.29	13:00:00	415.00	415.00	411.50	412.00	207	0	450
2018.06.29	14:00:00	412.00	412.50	406.50	407.00	157	0	425
2018.06.29	15:00:00	406.50	408.50	406.00	407.00	99	0	450
2018.06.29	16:00:00	407.00	407.00	402.50	405.50	243	0	450
2018.06.29	17:00:00	405.50	412.00	405.50	411.50	197	0	450
2018.06.29	18:00:00	411.00	411.00	406.50	411.00	135	0	500
2018.06.29	19:00:00	411.00	411.00	408.00	408.00	141	0	500
2018.06.29	20:00:00	408.50	410.50	408.00	409.00	98	0	450
2018.06.29	21:00:00	408.50	410.00	407.50	407.50	104	0	415
2018.06.29	22:00:00	407.50	407.50	404.50	406.00	162	0	450
2018.06.29	23:00:00	406.50	411.00	406.50	410.00	186	0	450
2018.07.02	00:00:00	449.53	450.55	447.50	450.41	390	0	0
2018.07.02	01:00:00	450.44	450.50	448.50	449.00	225	0	392
2018.07.02	02:00:00	448.50	450.50	447.50	449.00	134	0	500
2018.07.02	03:00:00	449.00	449.50	445.50	449.00	205	0	450
2018.07.02	04:00:00	448.50	448.50	446.00	447.00	247	0	500
2018.07.02	05:00:00	447.50	449.00	447.00	448.50	297	0	500
2018.07.02	06:00:00	448.50	448.50	445.00	447.00	196	0	500
2018.07.02	07:00:00	446.50	447.00	443.00	443.50	187	0	450
2018.07.02	08:00:00	444.00	445.00	443.00	443.50	216	0	450
2018.07.02	09:00:00	443.00	446.00	441.00	444.50	420	0	450
2018.07.02	10:00:00	444.50	448.50	444.00	448.00	266	0	425
2018.07.02	11:00:00	448.50	450.00	445.00	447.00	291	0	410
2018.07.02	12:00:00	447.00	447.50	445.00	445.50	318	0	500
2018.07.02	13:00:00	446.00	448.50	445.50	446.50	362	0	500
2018.07.02	14:00:00	447.00	448.50	446.50	447.50	374	0	450
2018.07.02	15:00:00	448.00	448.00	446.00	446.00	210	0	500
2018.07.02	16:00:00	446.50	472.50	446.50	468.50	659	0	401
2018.07.02	17:00:00	468.00	474.50	467.00	468.00	670	0	450
2018.07.02	18:00:00	468.00	471.50	468.00	471.50	608	0	500
2018.07.02	19:00:00	471.00	473.50	467.00	469.00	413	0	450
2018.07.02	20:00:00	469.00	469.50	469.00	469.00	200	0	500
2018.07.02	21:00:00	469.00	472.50	468.00	472.50	143	0	450
2018.07.02	22:00:00	472.00	477.50	471.00	474.00	345	0	450
